Company,Domain,Description,Preferred Stage,Preferred Sector
Morningstar Ventures,em6709.morningstar.ventures,"Morningstar Ventures is a global investment firm specializing in digital assets and blockchain technology, led by Founder & CEO Danilo S. Carlucci. We back ambitious founders through token and equity investments, with a primary focus on the Elrond ecos...","Pre-Seed, Seed, Early Stage, Growth Stage",Blockchain
Origin Ventures,originventures.com,"Origin Ventures is an early stage venture capital firm that invests in software, hardware, and marketplace businesses within the Digital Native economy, leveraging the extensive experience of its team in scaling businesses as founders, operators, and e...","Angel, Seed, Early Stage","FinTech, Consumer, E-Commerce / Marketplaces"
Mucker Capital,muckercapital.com,"Mucker Capital is a venture capital firm investing in software and Internet startups outside Silicon Valley, offering Seed and Series A funding to early-stage companies across North America and beyond.","Seed, Series A, Early Stage","AI, Consumer, Cloud Computing, Collaboration / Productivity Tools, E-Commerce / Marketplaces"
FirstLook,firstlook.vc,"FirstLook is a subscription box service that connects consumer brand founders with early stage investors. It provides a curated selection of emerging, high-growth consumer brands each month, along with Founder Pro Tips and insights. By simplifying the ...","Angel, Seed, Early Stage","Consumer, E-Commerce / Marketplaces"
Operate,oc4v.com,"Operate is a venture studio that partners with startup founders to build and scale software that revolutionizes industries. By providing early stage investment and embedding a team of experienced operators, Operate aims to increase the success rate of ...","Pre-Seed, Seed, Early Stage","AI, Cloud Computing, E-Commerce / Marketplaces"
Catalyze,catalyze.community,"Catalyze is a national nonprofit democratizing access to capital, networks, and resources for Capital Entrepreneurs who are innovating innovative ways of distributing capital to founders.",,FinTech
Ascensive Assets,ascensiveassets.com,Ascensive Assets is an early stage venture fund investing in ambitious founders shaping the future of blockchain technology.,"Pre-Seed, Seed, Series A, Early Stage",Blockchain
Slow Ventures,slow.co,"Slow Ventures is an angel investor group that believes in long-term thinking and building lasting companies. They provide entrepreneurs with resources, connections, and empathy to create strong, sustainable businesses at the intersection of technology,...","Angel, Seed, Early Stage",
RRE Ventures,rre.com,"RRE Ventures is a venture capital firm that partners with innovative entrepreneurs to invest in early and mid-stage companies, primarily focusing on technology-enabled products and services, while providing strategic support and leveraging a vast netwo...","Seed, Series A, Series B, Early Stage","AI, FinTech, Healthcare, Big Data, Cloud Computing, Cybersecurity"
Kraken Ventures,krakenventures.com,"Kraken Ventures is a global venture capital fund that invests in businesses and projects at the intersection of FinTech and Blockchain/Crypto revolutions. As an independent strategic partner of Kraken, the world's leading crypto platform, Kraken Ventur...","Seed, Series A, Early Stage","Crypto, Blockchain, FinTech"
Block0,block0.ch,"Block0 is a blockchain partner specializing in supporting DeFi, NFT, and Web3 startups. As an angel crypto fund, Block0 backs exceptional founders in the blockchain technology space, offering venture capital and private equity support.","Angel, Seed, Early Stage","Web3, DeFi, Blockchain, NFTs"
BAM Ventures,bam.vc,"BAM Ventures is an early stage consumer-focused venture capital fund in LA, backing resilient founders with innovative visions to transform commerce and create iconic brands.","Angel, Seed, Early Stage","Consumer, E-Commerce / Marketplaces"
Multitudes,multitudes.world,"Multitudes is a venture capital firm investing in diverse, emerging managers and high-growth companies to support the next generation of innovation.","Early Stage, Growth Stage, Late Stage",
ensemblevc,ensemble.vc,Ensemble VC is a modern venture capital firm that optimizes team and operations for startups through expert advisors and a data platform.,,
Acceleprise,acceleprise.vc,"Acceleprise, now Forum Ventures, is a SaaS accelerator supporting early-stage enterprise tech startups with funding, mentors, and key introductions. Founded in 2012, it focuses on investing in startups solving targeted pain points with user-friendly ap...","Pre-Seed, Seed, Early Stage","Enterprise, Cloud Computing, E-Commerce / Marketplaces"
Blockchain Capital,blockchaincapital.com,"Blockchain Capital, founded in 2013, is a leading venture investor in the blockchain industry. They provide capital, expertise, partnerships, and strategic support to entrepreneurs building innovative companies and projects based on blockchain technolo...","Seed, Series A, Early Stage, Growth Stage",Blockchain
CB Insights,data.cbinsights.com,"CB Insights is a technology market intelligence company that predicts technology trends and provides insights on venture capital, startups, and tech news.",,
Relayer Capital,relayer.capital,"Relayer Capital is a company dedicated to supporting the builders of infrastructure, protocols, and applications driving mainstream crypto adoption. They provide services to empower the growth of the crypto ecosystem.","Pre-Seed, Seed, Series A, Series B, Early Stage, Growth Stage","Crypto, DeFi, Blockchain"
Portal Ventures,portal.vc,Portal Ventures is a venture capital and private equity firm that combines business fundamentals with a crypto-native perspective to support innovators in the early stages of their projects.,"Angel, Seed, Early Stage","Crypto, Blockchain, FinTech"
Sacra,cio64739.sacra.com,"Sacra is a research platform for private markets, angel and secondary investing, providing insights on pre-IPO, growth stage, and early stage companies. It serves as the information infrastructure for the private markets, offering a robust model for mo...","Pre-Seed, Early Stage, Growth Stage",
Reference Capital (formerly Genevest),referencecap.com,"Reference Capital is a privately held advisory firm that specializes in researching and investing in disruptive technologies, providing tailored investment management services for both institutional and private clients since 2019.",,
Eniac Ventures,eniac.vc,"Eniac Ventures specializes in leading preseed and seed funding rounds for innovative founders who leverage mobile technology to build transformative startups, drawing on the extensive experience of its founders in the entrepreneurial landscape.","Pre-Seed, Seed",
Access Ventures,accessvp.com,Access Venture Partners is a Colorado-based venture capital firm that focuses on investing in passionate founders of early-stage technology startups.,"Angel, Seed, Early Stage",
Electric Capital,electriccapital.com,"Electric Capital is an early-stage venture firm that invests in innovative founders and startups within the cryptocurrency, blockchain, fintech, and marketplace sectors, aiming to shape the future of Web3.","Angel, Seed, Early Stage","Web3, Crypto, Blockchain, FinTech"
Drake Star Partners,drakestar.com,"Drake Star is an award-winning global tech investment bank specializing in mergers & acquisitions and corporate finance services across various sectors. With over 400 transactions completed since 2003, their team of 100+ professionals offers strategic ...",,
Indicator Ventures,indicatorventures.com,"Indicator Ventures is a pre-seed and seed stage venture capital firm that invests in technology companies across the U.S., focusing on founders who are developing software solutions that enhance work, life, and wealth-building accessibility.","Pre-Seed, Seed","AI, Cloud Computing"
Draper Goren Blockchain,dgb.vc,"DGB is an early-stage blockchain venture studio and management company founded by Tim Draper, Alon Goren and David Bleznak.","Pre-Seed, Seed, Early Stage",Blockchain
MetaWeb.VC,metaweb.vc,"MetaWeb Ventures is a global crypto firm investing in the future of #Web3, connecting startups with resources and offering comprehensive support in various areas.",,"Web3, Crypto, Blockchain"
Hiro Capital,hiro.capital,"Hiro Capital is a Luxembourg/London technology Venture Capital fund founded by Luke Alvarez, Ian Livingstone, and Cherry Freeman. They invest in European and UK innovators in Games, Esports, and Digital Sports, focusing on Videogames, Esports, Streamin...","Seed, Series A, Series B, Early Stage, Growth Stage","AI, Blockchain, Big Data, Creator Economy, Mobility / Transportation"
Jolt VC,venture.angellist.com,"AngelList develops comprehensive software solutions that facilitate capital management and enhance investor relations for startups, venture funds, and private equity firms, thereby driving innovation within the startup economy.","Angel, Seed, Early Stage",
Paper Ventures,paper.ventures,"Paper Ventures is an innovative investment firm that specializes in emerging technologies. Founded by Danish Chaudhry, Oliver Blakey, and Ivailo Jordanov, the company's portfolio includes Renzo Protocol, Forgotten Playland, Monkey Tilt, and QED 2023.",,
TenOneTen Ventures,tenoneten.net,TenOneTen Ventures is a Los Angeles-based early-stage venture capital firm that invests in entrepreneurs leveraging data and technology to disrupt industries or create new categories. With a team that has founded successful startups and realized over a...,"Angel, Seed, Series A, Early Stage","AI, FinTech, Healthcare, Enterprise, Big Data, Cloud Computing, E-Commerce / Marketplaces"
NFX,signalmail.nfx.com,NFX is a venture capital firm specializing in pre-seed and seed stage investments. They support exceptional founders in building market-transforming companies and operate as an invite-only guild for digital networks and marketplaces. NFX emphasizes the...,"Pre-Seed, Seed","Consumer, Collaboration / Productivity Tools, E-Commerce / Marketplaces"
Core Finance,core.ist,Core Finance is a leading technology-focused investment bank offering advisory and capital raising solutions to innovative companies in industrial and technology sectors.,,
JAL Ventures,jalventures.com,"JAL Ventures is a venture capital firm that provides expansion capital to early revenue stage Israeli technology companies in sectors such as internet, SaaS, ecommerce, and security. With a proven investment strategy and a diverse management team, JAL ...","Series A, Early Stage, Growth Stage","Cloud Computing, Cybersecurity, E-Commerce / Marketplaces"
Girlmath,girlmath.capital,"Girl Math Capital is an investment firm that supports women in defining their own investment thesis. They invest in companies with founders who are making a positive impact on the world, across various industries and stages. Girl Math Capital welcomes ...","Seed, Series A, Series B, Early Stage, Growth Stage, Late Stage",
Confluence,confluence.vc,"Confluence.VC offers a VC Operating Playbook with essential tools and resources for investors, founders, and partners to gain a competitive edge in the venture game, including a community of over 2,000 investors and a range of valuable resources for th...",,
Dissentcap,dissentcap.xyz,Crypto Venture Fund of Funds,,"Crypto, Blockchain"
Elektra Ventures,elektra.ventures,Elektra Ventures is a London-based venture capital firm specializing in early-stage startup investments and strategic guidance.,"Angel, Pre-Seed, Seed, Early Stage",
Mindset Ventures,mindset.ventures,"Mindset Ventures is a venture capital firm that invests in B2B startups with advanced technology in sectors such as agriculture, financial services, healthcare, cybersecurity, and enterprise software, while also facilitating their growth and market ent...","Seed, Series A, Series B, Early Stage","Healthcare, Enterprise, Cybersecurity"
8vdX,8vdx.com,"VentureInsights.ai offers AI-powered investment and fundraising solutions, revolutionizing venture debt for startups and investors. 8vdX provides early access to promising startups and CNPL financing for growth, creating a powerful flywheel for founder...","Seed, Early Stage, Growth Stage",
Green Egg Ventures,greenegg.vc,"Green Egg Ventures is an early stage venture capital fund that specializes in discovering, investing in, and supporting software startups that address business challenges across various industries through angel and seed investments.","Angel, Seed, Early Stage","AI, FinTech, Big Data, Cloud Computing, Cybersecurity, Collaboration / Productivity Tools, E-Commerce / Marketplaces"
Architect Partners LLC,architectpartners.com,"Architect Partners is a front-line advisory firm specializing in crypto, fintech, and beyond. They provide strategic capital raising, M&A execution, and investment banking services to companies in the Internet, mobile, and digital media sectors. With a...",,"Crypto, FinTech"
Blue Bear Capital,bluebearcap.com,"Blue Bear Capital specializes in providing venture capital funding to innovative startups focused on artificial intelligence solutions within the energy, infrastructure, and climate sectors.","Seed, Series A, Early Stage","AI, Climate Tech"
Untapped Capital,untapped.vc,Untapped Capital is an early stage venture capital firm that focuses on investing in unexpected founders in the United States.,"Angel, Seed, Early Stage",
CVS Health Ventures,cvshealthventures.com,,,
Cache Ventures,cachev.com,"Cache Ventures specializes in building, advising, and investing in innovative startups and products, leveraging a collaborative approach among entrepreneurs to create successful business ventures.",,
Floodgate,floodgate.com,"Floodgate is a venture capital firm that focuses on early stage investments in technology companies. They back the top 0.1% of Founders, known as Prime Movers, who create massive outcomes from nothing by defying conventional wisdom and rewriting the ru...","Angel, Pre-Seed, Seed, Early Stage","AI, Blockchain, FinTech, Big Data, Cybersecurity, E-Commerce / Marketplaces, Robotics"
Barrel Ventures,barrelvc.com,"Barrel Ventures is a company dedicated to supporting innovative entrepreneurs who are tackling the challenges in our global supply chain and food ecosystem. With a focus on sustainability and efficiency, Barrel Ventures aims to invest in and empower bu...","Seed, Series A, Early Stage","Consumer, E-Commerce / Marketplaces, Climate Tech"
VNTR Investment Syndicate and Investors Community,vntr.vc,"VNTR Capital is a global investment community and syndicate specializing in fast-growing startups, offering exclusive deal flow and co-investment opportunities with a dynamic community of accomplished peers.","Seed, Series A, Early Stage, Growth Stage, Late Stage",
Overline VC,overline.vc,"Overline is a seed stage venture capital firm based in Atlanta that leads pre-seed and seed investments in exceptional founders across various sectors in the Southeast, providing funding ranging from $250,000 to $1.5 million to support early-stage star...","Pre-Seed, Seed",
Cosmic,cosmicvp.com,"Cosmic Venture Partners is a venture capital and private equity firm based in Austin, investing in the next generation of consumer platforms, products, and services. They focus on promising early-stage companies to drive innovation and growth in the ma...","Angel, Seed, Series A, Early Stage",Consumer
2468 Ventures,2468ventures.vc,"2468 Ventures is a company founded by Pankaj Kedia, a renowned AI thought leader, offering AI investing, advisory, and consulting services. With expertise in Internet, Mobile, and Cloud technologies, the company provides strategic guidance and investme...",,"AI, Cloud Computing"
Resolute Ventures,resolute.vc,"Resolute Ventures focuses on fostering a community of entrepreneurial founders by serving as a lead investor for seed stage startups, aiming to support those who are driven to create impactful ventures and believe in the power of collaboration among li...","Angel, Seed",E-Commerce / Marketplaces
Lionheart Ventures,lionheart.vc,"Lionheart Ventures is a global venture capital firm dedicated to mitigating civilizational risk by strategically investing in transformative technologies. Specializing in artificial intelligence and mental health innovations, we aim to make humanity mo...",,"AI, Healthcare"
Variant,variant.fund,Variant is a venture capital firm investing in the ownership economy through web3 projects that empower users to become owners.,,"Web3, Crypto, DeFi"
NZVC,nzvc.co.nz,"NZVC operates as an investment and support entity for founders in New Zealand, leveraging its expertise and capital to foster the growth of innovative ventures in a borderless and remote working economy.","Angel, Pre-Seed, Seed, Early Stage","FinTech, E-Commerce / Marketplaces"
Ground Up Ventures,groundup.vc,"Ground Up Ventures supports seed and pre-seed companies, guiding visionary entrepreneurs in building their startups from inception. They prioritize early engagement and aim to be the initial investor for promising ventures.","Pre-Seed, Seed, Early Stage",
Kesha Ventures,keshaventures.com,Kesha Ventures is a Seed and Pre-Seed VC investing in Fintech and Web 3 startups during early stages.,"Pre-Seed, Seed, Early Stage","Web3, FinTech"
Bitcoin Frontier Fund,btcfrontier.fund,"Bitcoin Frontier Fund is a venture capital and private equity firm that focuses on investing in new enabling technologies and tools for the Bitcoin ecosystem. They support the development of new networks, cryptography, zk rollups/proofs, hardware, mini...","Angel, Seed, Early Stage","Crypto, Blockchain, FinTech"
Blockchain Coinvestors,blockchaincoinvestors.com,"Blockchain Coinvestors is a leading institutional platform that offers global, diversified exposure to early-stage blockchain venture investments. With a consistent investment thesis since 2014, the company provides access to a portfolio of 750+ blockc...","Angel, Seed, Early Stage",Blockchain
Overton Venture Capital,overtonvc.com,Overton Venture Capital: Investing in transformative brands and services for the evolving consumer landscape.,,
Everest Ventures Group,evg.co,"Headquartered in Hong Kong, Everest Ventures Group (EVG) is a Web3 focused global venture building group driving mass adoption of Web3. With a global team of 300, we have built and launched a diverse portfolio of products for the future of digital interaction across use cases, such as Aspen Digital, Mugen Interactive, Kiki, LiveArt, Blocktempo, Cassava Network, and Adaverse. As an early investor and lead advisor, we have contributed to unicorns and 100+ defining projects such as Dapper Labs (Flow), Animoca Brands, Immutable, The Sandbox, Yuga Labs, Kraken, Lukka, and Upbit. We pride ourselves on being a bridge between mainstream business leaders, cultural icons, and Web3 innovators. By bridging traditional spheres with the dynamism of the Web3 community, we are building tomorrow today, ushering in an open, fool-proof digital future.",,
Acadian Ventures,acadianventures.com,"Acadian Ventures is a venture capital firm backing visionary founders and companies in the future of work, driving productivity and economic advancement.",,Collaboration / Productivity Tools
Looking Glass Capital,lookingglass.vc,"Looking Glass Capital is a venture capital firm that serves as a 'first yes' pre-seed investor, supporting mission-driven founders tackling challenges in health, climate, and empowerment. They invest in and support entrepreneurs during the early stages...","Pre-Seed, Early Stage","Healthcare, Climate Tech"
Dominet Venture Partners,dominet.com,"Dominet provides capital and strategic partnership to promising tech startups in Australia, facilitating additional funding through a network of investors and offering support in goal-setting, growth frameworks, and operational guidance from their co-w...","Seed, Series A, Series B, Early Stage, Growth Stage, Late Stage","AI, FinTech, Healthcare, Cloud Computing, Cybersecurity"
M13,m13.co,"M13 is a brand development and investment company founded by brothers Carter and Courtney Reum. They specialize in accelerating businesses at the intersection of consumer products, technology, and media. With a focus on institutionalizing the brand cre...","Seed, Series A, Series B, Early Stage","AI, Consumer, Big Data, E-Commerce / Marketplaces"
KeenCryptoAndyV,keencrypto.com,"KeenCrypto offers venture capital and private equity services to cryptocurrency principals, providing strategic investments and financial expertise.",,"Crypto, DeFi, Blockchain"
HH Hodlers Limited,3h.com.hk,"HH Hodlers Limited is a company that advises and invests in carefully selected frontier tech start-ups. With a CEO experienced in entrepreneurship and multiple successful exits, the company works with leading VR medical training companies and invests i...","Angel, Seed, Series A, Early Stage","AI, Blockchain, FinTech, Healthcare, Cybersecurity, E-Commerce / Marketplaces, Climate Tech, Robotics, Defense Tech"
Countdown Capital,countdown.capital,"Countdown invests in founders rebuilding the American industrial base at the earliest stages, focusing on aerospace, manufacturing, defense, energy, and construction sectors to secure a prosperous future.","Pre-Seed, Early Stage",Defense Tech
Necessary Ventures,necessary.vc,"Our world has no shortage of challenges. Every day, we continue to struggle against illness and disease, a lack of opportunity, homelessness, violence and oppression, climate change, and hunger. Technology offers powerful solutions to these challenges. We work with the best founders building the most scalable solutions. Founders compelled by their mission. Founders building Necessary Ventures.","Seed, Series A, Early Stage","Healthcare, Climate Tech"
typo,typoideas.com,"Typo, LLC is a company that invests in diversified opportunities in the private equity, venture capital, and real estate space. They are known for their expertise in Venture Capital and Private Equity Principals.",,
Astelios,astelios.com,"Astel Ventures partners with entrepreneurs by investing in their ventures and facilitating connections to a global network of strategic investors, while also providing on-demand air travel services through personal aircraft that can be booked via mobil...","Seed, Series A, Early Stage",
Insight Capital,insightcap.co,Insight Capital: Venture Capital and Private Equity firm investing in high-growth companies for strategic guidance and financial support.,,"FinTech, E-Commerce / Marketplaces, Insurtech"
Race Capital,race.capital,Race Capital is a Palo Alto-based venture capital firm investing in early stage startups in infrastructure sectors to shape the future.,"Pre-Seed, Seed, Early Stage",
Motivate Venture Capital,motivate.vc,"Motivate Venture Capital invests in very early-stage startups, offering capital, experience, and connections to ambitious founders to bring innovative ideas to life.","Angel, Pre-Seed, Seed, Early Stage","FinTech, E-Commerce / Marketplaces"
Dream Ventures,dreamventures.co,"Dream Ventures connects the most innovative female founders with strategic investors and partnerships, serving as a female-focused fund and incubator. They specialize in facilitating connections between female-owned businesses and investors to secure d...","Angel, Pre-Seed, Series A, Early Stage",
Talis Capital,taliscapital.com,"Talis. specializes in venture capital investment, focusing on Seed and Series A funding for innovative founders in Europe and the US who are poised to create category-defining companies.","Seed, Series A",
sound ventures,sound-ventures.com,Sound Ventures is a venture capital firm founded by Ashton Kutcher and Guy Oseary. The company invests in innovative startups across various industries to support their growth and success.,,
Greenfield One,greenfield.one,Greenfield is a European crypto investment firm that supports early developer teams focused on creating a decentralized and more resilient infrastructure for the future of the internet.,"Pre-Seed, Seed, Early Stage","Web3, Crypto, Blockchain"
CNBB Venture Partners,cnbb.nl,"CNBB Equity Partners is a software-focused investment firm that provides capital and strategic support to entrepreneurs to help them achieve their growth ambitions. With a focus on venture capital and private equity investments in Europe, CNBB acts as ...",None,E-Commerce / Marketplaces
Wonder Ventures,wondervc.com,"Wonder Ventures is a venture capital firm based in Southern California, investing in innovative technology companies with a focus on addressing global challenges. With a strong community of over 200 founders and thousands of employees, Wonder Ventures ...",,"AI, FinTech, Healthcare, Cloud Computing, Cybersecurity, Biotech / Life Sciences, Climate Tech, Mobility / Transportation, Robotics, Space Tech"
BlueNodeCapital,bluenodecapital.vc,Blue Node Capital is a private investment firm based in Hong Kong that focuses on making digital asset & equity investments in small and medium-sized enterprises (SMEs) in the technology and blockchain space. The firm partners with high-growth companie...,"Seed, Series A, Early Stage, Growth Stage",Blockchain
Maccabee Ventures,maccabee.vc,"Maccabee Ventures is an NYC-based venture capital firm specializing in early-stage tech investments. With a focus on building authentic relationships, they provide founders with strategic partnerships and meaningful introductions to support business gr...","Pre-Seed, Seed, Early Stage","AI, FinTech, Consumer, Big Data, Cloud Computing, Mobility / Transportation"
Transposeplatform,transposeplatform.vc,"Transpose Platform is a global venture capital firm founded in 2015 by Alex Bangash and Trang Nguyen. The company partners with innovative founders from Day 0, aiming to build category-defining companies of the future. Transpose Platform is dedicated t...","Angel, Pre-Seed, Seed, Early Stage",
Outrun Ventures,outrunventures.com,"Outrun Ventures is an angel investment firm specializing in FinTech, Web3, and RegTech. They support outstanding founders from Series Seed to Series A and beyond, aiming to make a material difference to their customers. Their portfolio addresses outdat...","Angel, Seed, Series A","Web3, FinTech"
Double Down,double-down.com,,,"FinTech, Consumer, Enterprise, E-Commerce / Marketplaces, Insurtech"
Torch Capital,torchcapital.vc,"Torch Capital is a brand-focused investment firm supporting mission-driven consumer companies across healthcare, fintech, and digital media sectors.",,"FinTech, Healthcare"
The Bridge by Bridge Funding Global,bridgefundingglobal.com,"Bridge Funding Global bridges the funding gap, fosters capital opportunities for women emerging managers, and connects them to LPs in the financial services sector.","Angel, Seed, Early Stage, Growth Stage",FinTech
futureland ventures,futurelandventures.com,"futureland ventures invests in early-stage technology startups that focus on developing sustainable, resilient, and inclusive solutions for a connected future, including innovations like electric autonomous freight trains and environmentally responsibl...","Pre-Seed, Seed, Early Stage","Climate Tech, Mobility / Transportation"
186 ventures,186ventures.com,"186 Ventures is an early-stage technology investment firm that supports agile teams working on disruptive problems. They offer operational and investing support to tech start-ups and businesses, helping them grow and succeed.","Pre-Seed, Seed, Series A, Early Stage","AI, FinTech, Healthcare, Cloud Computing"
DMV Capital Corp,dmvcapital.net,"DMV Capital, also known as Devon George Venture Capital, is a full-stack investment and consulting firm specializing in venture capital, equities, and credit. They provide services in scaling finance, strategy, operations, tech enablement, human resour...",,
Artichoke Capital,artichoke.capital,"Artichoke Capital is a web3 venture capital firm with a team of investors, operators, and founders specializing in blockchain technology. They focus on digitizing relationships, assets, and information to support the next generation of builders in the ...","Pre-Seed, Seed, Series A, Early Stage","Web3, Blockchain"
Mirana,mirana.tech,"We invest in projects and funds. Our Partners have built multiple organizations including: Windranger Labs, BitDAO, Dekrypt Capital...",,
Cadenza Capital Management,cadenza.vc,"Cadenza Ventures invests in digital finance and blockchain technologies, with notable investments in BlockFi, Blockfolio, Rain, ZEBEDEE, FalconX, and CoinDCX.","Seed, Series A, Early Stage","Blockchain, FinTech"
District Capital,districtcapital.co,"District Capital is the investment arm of a Hong Kong based family office, dedicated to finding, funding, and partnering with entrepreneurs who aim to address pressing socio-economic or environmental challenges with scalable solutions. They focus on gr...","Seed, Series A, Early Stage, Growth Stage","FinTech, Consumer, Climate Tech"
Poise Ventures,poiseventures.com,"Poise Ventures is a privately held investment firm led by Val Katayev, focusing on high tech, media, and education startups. It also invests in debt through P2P/Marketplace Lending platforms.","Seed, Series A, Early Stage","AI, Big Data, Cloud Computing, Cybersecurity"
Bessemer Venture Partners,bvp.com,"Bessemer Venture Partners is a venture capital firm that collaborates with ambitious entrepreneurs to develop sustainable businesses, providing support and insights throughout various stages of growth, backed by a robust portfolio of over 300 companies...","Seed, Series A, Series B, Series C+, Early Stage, Growth Stage, Late Stage",
What If Ventures,whatif.vc,What If Ventures is a Mental Health Venture Capital firm investing in startups addressing mental health and healthcare challenges with a focus on stigma-free solutions.,"Angel, Seed, Early Stage",Healthcare
Kapvista,kapvista.com,"KapVista operates a global marketplace that connects emerging companies with high net worth investors, facilitating the capital-raising process by matching qualified investors to private investment opportunities across multiple countries.",,
Greenfield One,greenfield.xyz,Greenfield is a European crypto investment firm that supports early developer teams focused on creating a decentralized and more resilient infrastructure for the future of the internet.,"Angel, Seed, Early Stage","Web3, Crypto"
Digital Finance Group,dfg.group,"DFG is a global investment firm specializing in blockchain and Web 3.0 technologies. With over $1 billion in assets under management, DFG empowers the blockchain ecosystem through investments in sectors like Web 3.0, CeFi, DeFi, NFTs, and the Polkadot ...","Seed, Series A, Series B, Early Stage, Growth Stage, Late Stage","Web3, DeFi, Blockchain, NFTs"
FBRC.ai,fbrc.ai,"FBRC.ai pioneers AI driven entertainment, architecting the next generation studio framework. It operates as a two-sided marketplace supporting early-stage AI startups in finding product pipeline fit and assisting corporations in integrating AI into the...","Pre-Seed, Seed, Early Stage","AI, E-Commerce / Marketplaces"
6th Man Ventures,6thman.ventures,"6MV is an early-stage crypto VC firm that invests in web3 applications and infrastructure. They are a web3 native collective of investors, founders, and builders who partner with innovators to create the user-owned internet. Founded by a group passiona...","Angel, Pre-Seed, Seed, Early Stage","Web3, Crypto, Blockchain, FinTech"
Menyala,menyala.com,"Menyala, a venture building team by Temasek, creates scalable ventures in decentralized technologies to drive exponential value through innovative business models.",,"DeFi, Blockchain, FinTech"
Dragonfly Capital,dragonflycapitalpartners.com,"Dragonfly is a leading global crypto investment fund that backs and supports crypto projects worldwide. With a focus on cross-border investments, Dragonfly brings over 10 years of experience to help crypto teams achieve global innovation and adoption.",,"Crypto, Blockchain"
